start_node,end_node,np
100183,100065,0
100183,100182,1
100183,100182,2
100184,100185,0
100186,100135,2
100188,100189,0
100189,101769,0
100190,100193,1
100190,100193,2
100190,100280,0
100192,100195,1
100192,100195,2
100192,100195,3
100192,100195,4
100192,100197,1
100192,100197,2
100193,100196,0
100195,100118,0
100195,100127,0
100195,100194,0
100195,103110,1
100195,103110,2
100197,100199,0
100198,100197,4
100198,100197,3
100198,100383,0
100198,101050,0
100199,103104,0
103113,103116,0
103116,100116,0
103128,103126,1
103126,103158,0
100201,205505,1
100201,205505,2
100204,100205,1
100204,100205,2
100205,100224,0
100205,100228,0
100206,100165,0
100206,100227,0
100207,100181,0
100207,100206,0
100208,100247,0
100209,100291,0
100210,100212,0
100210,100228,1
100210,100228,2
100294,100233,0
100211,100225,0
100211,100246,0
100212,100213,0
100213,100221,0
100213,100233,1
100213,100281,0
100213,100293,0
100293,100281,0
100214,100180,0
100214,100227,6
100214,100233,2
100214,100233,5
100214,100280,0
100214,205501,0
100215,100196,0
100215,100218,0
100215,100219,0
100121,100216,0
100217,100219,0
100218,100217,0
100218,100220,1
100218,100223,1
100218,100223,2
100219,100222,0
100220,100284,0
100222,100284,0
100221,100226,1
100221,100226,2
100221,100227,0
100221,100271,1
100221,100271,2
100222,100226,1
100222,100226,2
100223,100224,1
100223,100224,2
100223,100225,0
100225,100227,0
100225,100245,0
100226,100287,1
100226,100287,2
100226,100288,12
100226,100288,34
100227,100229,1
100227,100229,2
100229,100283,1
100229,100283,2
100282,100283,1
100282,100283,2
100230,100282,1
100230,100282,2
100230,100245,1
100230,100245,2
100230,100267,0
100230,100268,0
100230,100231,0
100230,102230,1
100230,102230,2
100231,100236,0
100231,100261,0
100231,100267,0
100232,100242,1
100232,100242,2
100233,100227,0
100233,100262,0
100233,100266,0
100295,100294,0
100295,100272,0
100295,100210,0
100294,100272,0
100234,100239,0
100235,100254,0
100236,100237,0
100236,100285,0
100237,100285,0
100238,100237,0
100238,100260,0
100238,100832,0
100239,100208,0
100240,205505,2
100240,205505,1
100241,100202,0
100242,100244,0
100242,100245,1
100242,100245,2
100243,100242,0
100243,205502,0
102212,100249,1
102214,100249,2
100248,100255,0
100249,100250,0
100249,100252,0
100250,100252,0
100251,100225,0
100251,100245,0
100251,100246,0
100253,100254,1
100253,100254,2
100254,100269,0
100255,100234,3
100255,100235,2
100255,100235,1
100255,100280,0
100259,100878,0
100236,100261,0
100260,100261,0
100260,100277,0
100261,100267,0
100261,100285,0
100262,100229,0
100262,100230,1
100262,100230,2
100262,100277,1
100262,100277,2
100263,100254,0
100264,100263,0
100265,100264,0
100266,100211,0
100266,100290,0
100269,100496,0
100270,100249,0
100271,100289,1
100271,100289,2
100272,100273,0
100273,100288,1
100273,100288,2
100277,100267,1
100280,100281,2
100281,103175,1
100281,103175,2
100284,100286,1
100284,100286,2
100284,100292,0
100286,100287,1
100286,100287,2
100288,100289,1
100288,100289,2
100290,100291,0
100290,205502,0
100301,100302,0
100301,100305,0
100301,100391,0
100302,100305,0
100302,100381,0
100302,100392,1
