number,name
100249,КармГРЭС
100250,Редькино
100251,Чишмы
100252,Арлан
100253,Тюльди
100254,Янаул
100255,Буйская
100259,Бурибай
100260,Самаровка
100261,Самаровка
100262,Ашкадар
100263,Андреевка
100264,Курдым
100265,Татышлы
100266,Благовар
100267,НСалТЭЦ-1_потреб
100268,НСалТЭЦ-2_потреб
100269,Сандугач
100270,Амзя
100271,Набережная
100272,Затон
100273,Затон-110
100277,Н-Салаватская ПГ
100280,Уфимская
100281,Уфимская
100282,СтерТЭЦ
100283,ЮПП
100284,УфТЭЦ-2
100285,ЮмагГЭС
100286,Сипайлово
100287,Ишимская
100288,Краснодонская
100289,Ибрагимовская
100290,Туймазы
100291,Туймазы
100292,Северная
100301,Лещево
100302,Высокая
100303,Шумиха
100304,Щучанская
100305,Уксянка
100306,Каргаполье
100307,Чаша
100308,Белозерская
100309,Н.Березово
100310,Мирная
100311,Алакуль-т
100312,Целинное
100313,Куртамыш
100314,Щучанская
100315,Щучье
100316,Звериноголовская
100317,Шумиха
100319,Кособродск-Т
100320,Юргамыш-т
100321,Макушино
100322,Петухово
100323,Лебяжье
100324,Варгаши
100325,КурТЭЦ
100326,Зауралье
100327,КЗММК
100328,Мокроусово
100329,Сибирская
100330,Курганская ТЭЦ-2
100346,Высокая
100364,Макушино
100365,Промышленная
100380,Промышленная
100381,Шатрово
100383,Курган
100384,Курган-220-1
100385,Курган-220-2
100391,Катайск
100392,Ватолино
100401,Соликамск
100402,БТЭЦ4
100403,ЯйГРЭС
100404,ЯйГРЭС
100405,Горная
100406,ЧайТЭЦ
100407,Горная
100408,КГРЭС3
100409,Эмаль
101419,Калино-220 1сш
101429,Калино 220 2сш
100410,Бисер
100411,Чусовая
100412,Дивья
100413,Оверята
100494,КамГЭС_потребите
100414,КамГЭС
100415,КамГЭС
100416,Пермь
100417,Ирень
100418,Заречье
100419,ПТЭЦ6
100420,Верещагино
100421,Григорьевская
100422,ЗТЭЦ5
100423,Очер
100424,Черновская
100425,ЭПВРЗ
100426,ВотГЭС
100427,Каучук
100428,ВотГЭС
100429,ВотГЭС
101402,ВотГЭС (АТГ-2)
101403,ВотГЭС (АТГ-3)
100430,Бородулино
100431,Зюкай
100432,Чайковская
100433,ПТЭЦ-14
100434,Светлая
100435,Светлая
100436,БумажнаяАТ2
100437,Северная
100438,Бумажная
100439,Северная
100440,Каучук
100441,Промыслы
100442,Владимирская
100443,БумажнаяАТ1
100444,Щучье озеро-т
100445,Чад-т
100446,Чернушка-т
100447,Цемент
100448,Химкомплекс-1
100449,Чернушка
100450,Константиновка
100451,Оса
100452,ТитанАТ2
100453,ТитанАТ1
100454,Гожан
100455,ПермГРЭС
100456,Березовка
100457,Сайгатка
100458,Химкомплекс-2
100459,Дубовая
100460,Искра_1
100461,Искра
100462,Владимирская
100463,ПТЭЦ-13
100464,СТЭЦ-12
100465,БТЭЦ-2
100466,БТЭЦ-10
100467,ПТЭЦ-9
100468,Кизел
100469,Заготовка
100470,Искра_2
100471,Калино
100472,Цемент
100474,Фталевая
100475,ПермГРЭС
100476,Заостровка
100477,Космос
100478,ЮжнаяПЭ
100479,Космос
100480,Голованы
100481,Апрельская
100482,Апрельская
100483,Титан
100484,Гляденово
100485,Югокамская
100486,Паль
100487,Крылово
100488,Ножовка
100489,Елпачиха
100490,Бардымская
100492,Печмень
100493,Деменево
100495,Слудка
100496,Куеда
100497,отпГорная-1
100498,отпГорная-2
100499,Калино
100501,Удмуртская
100502,Удмуртская
100503,Сюга
100504,Саркуз
100505,Садовая
100506,Садовая
100507,Селты
100508,Комсомольская
100511,Свобода
100512,Сива
100515,Комсомольская
100516,отпСива-1
100517,отпСива-2
100518,Сива
100520,Кузьма
100521,Сегедур
100524,Воткинск
100525,Ижевск
100526,Сарапул
100527,Закамская
100530,Ижевск
100531,Звездная
100532,Кожиль1
100533,Балезино
100534,Балезино
100535,Кожиль2
100540,Позимь
100541,Пурга
100542,Сюга
100543,Позимь 2С 220
100544,Агрыз-т
100545,Пычас-т
100550,Металлург
100551,Металлург
100552,Машзавод
100553,Восточная
100554,Нефтемаш
100555,ИжТЭЦ-2
100561,ИжТЭЦ-1
100562,Кама
100563,Кама
100601,Вятка
100602,ВятПоляны
100603,ВятПоляны
100610,Санчурск
100611,Лазарево-1
100612,Лазарево-2
100613,Малмыж
100626,Марадыково
100627,Оричи
100629,Киров
100630,Лебяжье
100631,Чепецк
100632,Котельнич
100633,Мураши
100634,Вятка
100635,Бумкомбинат
100636,Омутнинск
100637,Кирс
100638,КТЭЦ-3
100639,КТЭЦ-4
100640,Вятка
100644,Киров
100645,Зуевка
100646,Омутнинск
100647,Фаленки
100650,Ацвеж
100651,Чепецк2
100652,Лебяжье
100653,Шабалино
100654,Иготино
100655,Котельнич
100656,Мураши
100657,Кр.Курсант
100658,Луза
100659,Арбаж
100660,Яранск
100701,Росляковская
100702,Шубинская
100703,Шубинская
100711,Росляковская
100704,Ишим
100706,Югра
100707,Хора
100708,Ишим-220
100709,Витязь
100710,Голышманово
100713,Сорокино
100714,Каргалы
100718,Югра
100720,Голышманово
100712,Казанка
100715,Искра-1
100716,Искра-2
100717,Барсово
100719,Барсово
100721,Сургут
100722,Сургут
100778,Имилор
100779,В.Моховая
100742,ГПП-2
100724,Мегион
100723,КС-3
100725,Эмтор
100726,ЭМТОР
100727,Мегион
100728,Сова
100733,Лас-Еган
100735,Прогресс
100736,Кирилловская
100737,Узловая
100738,Узловая
100739,Таврическая
100740,Вандмтор
100741,Сибирская
102740,Кустовая
100744,Топаз
100745,ГПП-2
100746,Белозерная
100747,Космос
102748,Кирьяновская
100749,Надежда
100750,Пересвет
100751,Пересвет
102765,Мирная
102753,Орбита
100754,Мираж
100755,Прогресс
100756,Армизон
100757,Урьевская
100758,Н-Локти
100759,Трачуковская
100760,Трачуковская
100761,С.Варьеган
100762,Зима
100763,Кустовая
100764,Вынгапур
100765,Кварц
100767,Варьеган
100768,Мачтовая
100769,Компрессорная
100775,Суторминская
100771,Муравленковская
100772,Геращенко
100773,Стрела
100774,В.Моховая
100776,Белозерная
100777,НВГРЭС
100780,Янга-Яха
100781,Сибирская
100782,Холмогорская
100783,Холмогорская
100784,Холмогоры
100785,Имилор
100786,Кирилловская
100787,Когалым
100788,Аврора
100789,Пуль-Яха
100770,Пуль-Яха
100790,Тарко-Сале
100791,Муравленковская
100792,Тарко-Сале
100793,Надым
100794,Уренгой
100795,Пангоды
100796,Кирилловская
100797,Ср.Балык
100798,Ср.Балык
100799,Муравленковская
100801,Бугуруслан
100802,Сорочинская
100803,Бузулук
100804,Новотроицкая
100805,Михайловская
100806,Михайловская
100807,Тоцкая
100808,Новосергиевская
100809,Переволоцкая
100810,КаргТЭЦ
100811,Каргала
100812,Дедуровская
100813,Краснохолмская
100814,Илек
100815,Ташла
100816,НБелогорская
100817,Пугачевская
100818,СакмТЭЦ
100819,Новониколаевка
100820,Александровская
100821,Пономаревская
100822,Сарай-Гир
100823,Асекеево
100824,Филипповка
100825,Кувандык
100826,Бузулук
100827,Сорочинская
100828,Саракташ
100830,Газовая
100831,Газовая
100832,Гелий-3
100838,Чебеньки
100839,Октябрьская
100840,Оренбург
100841,Оренбург
100842,Каргала
100843,Рысаево
100844,Абдулино
100845,Рысаево
100846,Саракташ
100850,Степная
100851,КС-16
100852,Белоусовская
100853,Каликино
100854,Плешаново
100858,ТЭЦ УрСталь
100859,Теренсай
100860,Медногорская
100861,Новотроицкая
100862,Орская
100863,Орская
100864,ГПП-2 Гая
100865,Киембай
100866,КС-15
100867,Новоорская
100868,ИрГРЭС
100869,ИрГРЭС
100870,Киембай
100871,Ирикл ГРЭС_бл-1
100872,Ирикл ГРЭС_бл-2
100878,Ирикл ГЭС
100879,Приморская
100882,ИрГРЭС
100890,СевернаяОЭ
100891,Первомайская1
100892,Первомайская2
100893,Ирикл ГРЭС_бл-3
100894,Ирикл ГРЭС_бл-4
100895,ИрГРЭС (АТГ-5)
100896,ИрГРЭС (АТГ-6)
101001,Калининская_АТ-1
101005,НСвТЭЦ_ТГ-4
101008,Трубная_АТ-1
101009,Петрищевская
101011,Калининская_АТ-2
101012,Трубная_АТ-2
101013,Сибирская
101015,НСверд ТЭЦ 110
101023,РефтГРЭС (АТГ-3)
101024,РефтГРЭС (АТГ-4)
101044,СТЗ
101046,Рябина 110
101050,Исеть
101057,отп.Трубная
101067,БАЭС_Бл-4
101095,Электролизная Т-
101055,Емелино
101056,Емелино
101058,Рябина 220
101064,Курчатовская
101066,Курчатовская
101081,КУМЗ
101100,Сомкинская
101101,Кинтус
101102,Велижаны
101103,Урай
101148,Княжево
101105,Пыть-Ях
101106,Пыть-Ях
101107,Горная
101108,Красноленинская
101109,Каркатеевы-1
101110,Каркатеевы-2
101104,Сибжилстрой
101111,Червишево
101112,Рафайлово
101113,КГПЗ
101114,Ново-Петрово
101115,Вознесенская
101116,Усть-Балык
102109,Вектор
102122,Вектор
101117,Ильково
101118,Красноленинская
101119,Ильково
101120,Омутинка
101121,Татарка
101122,ЛенинскаяТЭ
101123,Торгили
101124,Кутарбитка
101125,Менделевская
101126,Туртас
101127,Картопья
101128,Луговая
101129,Тобольск
101130,Байкалово
101131,Сомкино
101132,Горьковская
101133,Снежная
101134,Бачкун
101135,Тюмень
101136,Демьянская
101137,Снежная
101138,Магистральная
101139,Магистральная
101140,СГРЭС-1
101141,Тюмень
101142,Магистральная
101143,Княжево
101144,Пышминская
101145,Правдинская
101146,Правдинская
101147,ЛенинскаяТЭ
101149,НелымПП
101150,"СГРЭС-2 сш 3,4"
102150,"СГРЭС-2 сш 1,2"
101151,Заводоуковск
101152,Демьянская
101153,Тюмень
101154,Пыть-Ях
101155,Пятково
101156,Покровка
101157,Зиново
101158,Декабрист
101159,ЮБГПЗ
101160,Иртыш
101161,Иртыш
101162,Ялуторовск
101163,Кротово
101164,Ольховка
101165,Кашевая
101166,Н-Заимка
101167,Кратер
101168,Кратер
101170,СГРЭС-1
101169,Полоцкая
101171,Полоцкая
101172,Пачетлор
101173,Пачетлор
101174,Пимская
101175,Пимская
101176,Контур
101177,Контур
101178,Демьянская
101179,Новая
101180,Ильичевка
101181,Луговая
101182,Болчары
101183,Таёжная
101184,ТюмТЭЦ-2
101185,Геологическая
101186,ТюмТЭЦ-2
101187,Картопья
101188,Ожогино
101189,Иртыш
101190,НВГРЭС
101191,Заводоуковск
101192,Сотник
101193,Вандмтор
101194,Ягодная
101195,Мортымья
101196,Новая
101197,Сотник
101198,Н.Катыш
101199,Чеснок
101448,Комплекс-1
101455,Соболи
101458,Комплекс-2
101462,Соболи
101465,Ависма_КПП
101769,Пригородная
101776,Чингирлау
101775,Месторождение
100299,СТ_НЕБ.БУГ
100599,СТ_НЕБ.УД
100699,СТ_НЕБ.Ц
100899,СТ_НЕБ.Газовая
102199,СТ_НЕБ.Витязь
102100,Святогор
102105,СГРЭС-1 (АТГ-5)
102106,СГРЭС-1 (АТГ-6)
102107,Няганская ГРЭС
102119,Няганская ГРЭС
102120,Уренгой-110
102123,Буран
102124,Оленья
102125,Юрхарово
102126,Ямбург
102130,Промплощадка УрГ
102141,ТюмТЭЦ-1
102142,Лысенко
102144,ТТЭЦ-2_потребите
102145,ТюмТЭЦ-1_потреби
102148,Васильев
102153,Беркут
102175,Зап-Камынская
102176,Ай-Пимская
102177,Лукьявинская
102182,Арсенал
102733,Губернская-2
102732,Губернская-1
102731,отп. Губернская-
102730,отп. Губернская-
102184,ТММЗ
102188,Ожогино
102193,Сергино
102194,Белоярская
102195,Лонг-Юган
102704,КНС-4
102705,ПП Хантос
102702,Шубинская
102706,Фоминская
102707,Хора
102709,Витязь
102712,Майка
102713,Выстрел
102714,Новоандреевская
102715,Новоандреевская
102728,Паклиновская
102729,Победа
100743,Комета
102743,Факел
102744,Факел
100748,Кирьяновская
100753,Орбита
100752,Мирная
102752,Восточный ПП
102763,Бахиловская
102767,Варьёган
102771,Комсомольский ПП
102780,Янга-Яха
